School,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25
Ipswich Grammar School,30,39,9,2,1
Ipswich State High School,3,9,20,11,1
Isis District State High School,3,5,18,8,0
Islamic College of Brisbane,7,6,9,12,1
James Nash State High School,12,23,20,17,7
John Paul College,25,34,26,13,0
Kawana Waters State College,6,14,22,12,1
Kedron State High School,32,38,42,29,9
Keebra Park State High School,2,4,9,5,0
Kelvin Grove State College,39,60,42,32,4
Kenmore State High School,55,75,67,47,12
Kepnock State High School,6,13,26,28,1
Kilcoy State High School,4,6,3,4,0
Kimberley College,10,16,9,3,0
Kingaroy State High School,9,29,27,12,0
King's Christian College,19,23,23,11,1
Kingston College,4,3,8,10,2
Kirwan State High School,17,27,33,42,6
Kuranda District State College,3,0,5,4,0
Laidley State High School,4,9,17,7,0
Lighthouse Christian School,0,5,5,2,0
Livingstone Christian College,2,8,8,10,4
Lockyer District State High School,8,13,23,7,0
Loganlea State High School,1,1,2,6,0
Longreach State High School,2,2,4,6,0
Loreto College Coorparoo,37,35,29,13,0
Lourdes Hill College,28,52,44,25,1
Lowood State High School,5,7,7,4,1
Mabel Park State High School,0,2,8,0,0
MacGregor State High School,8,35,21,8,3
Mackay Christian College,2,2,13,8,2
Mackay North State High School,23,38,32,28,4
Mackay State High School,3,11,14,14,4
Malanda State High School,10,5,6,2,0
Maleny State High School,6,21,15,10,0
Mansfield State High School,80,91,50,31,3
Mareeba State High School,7,20,10,5,0
Marist College Ashgrove,46,77,43,30,9
Marist College Emerald,3,13,9,9,0
Maroochydore State High School,16,19,34,24,1
Marsden State High School,2,16,21,42,8
Mary MacKillop College,7,14,14,7,3
Maryborough State High School,5,12,10,11,2
Marymount College,9,20,36,29,7
Matthew Flinders Anglican College,47,52,29,10,0
Meridan State College,9,23,16,12,2
Merrimac State High School,12,13,19,26,0
Miami State High School,10,19,20,3,0
Middlemount Community School,0,1,2,1,0
Miles State High School,1,2,6,1,0
Mirani State High School,4,16,18,13,1
Mitchelton State High School,2,5,5,15,7
Monto State High School,1,2,1,0,0
Moranbah State High School,3,6,11,10,0
Morayfield State High School,7,11,16,22,0
Moreton Bay Boys College,5,12,11,2,0
Moreton Bay College,31,43,20,22,3
Mossman State High School,6,8,14,7,2
Mount Alvernia College,11,31,32,21,2
Mount Gravatt State High School,13,43,35,23,3
Mount Morgan State High School,0,0,0,2,0
Mount St Bernard College,0,2,3,0,0
Mountain Creek State High School,20,39,58,43,6
Moura State High School,1,5,1,2,0
Mt Maria College,13,23,32,7,0
Mt St Michael's College,43,46,19,2,0
Mueller College,13,26,13,14,5
Murgon State High School,3,1,7,6,1
Music Industry College,1,3,10,4,0
Nambour Christian College,22,26,19,9,0
Nambour State College,23,26,27,3,0
Nanango State High School,3,9,10,7,0
Narangba Valley State High School,34,48,33,20,1
Nerang State High School,2,16,12,10,2
Noosa Christian College,1,3,3,1,1
Noosa District State High School,12,33,36,18,0
North Lakes State College,14,52,48,27,0
